,1.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,8.txt,9.txt,10.txt,11.txt,12.txt,13.txt,14.txt,15.txt,16.txt,17.txt,18.txt,19.txt,20.txt,21.txt,22.txt,23.txt,24.txt,25.txt,26.txt,27.txt,28.txt,29.txt,30.txt,31.txt,32.txt,33.txt,34.txt,35.txt,36.txt,37.txt,38.txt,39.txt,40.txt,41.txt,42.txt,43.txt
Adaptor,7,3,1,8,3,5,2,9,2,7,3,4,6,12,0,1,4,2,2,7,11,6,2,5,10,5,0,4,5,9,7,1,2,2,1,2,7,20,1,3,4,3,3
Rounder,18,26,13,8,7,6,5,11,2,13,5,16,20,21,1,2,9,7,7,13,14,10,4,10,10,10,5,2,3,14,5,5,4,8,10,9,25,32,25,13,15,8,7
Plausible_shields,1,3,2,0,0,0,1,3,0,0,3,1,0,1,0,0,0,1,0,1,1,1,3,1,0,0,0,0,0,2,0,1,1,0,2,0,0,4,0,3,3,0,0
Attribute_shields,8,8,14,9,3,1,2,4,14,6,5,6,17,13,0,0,6,6,16,11,18,9,4,4,4,8,3,0,1,12,1,4,1,4,4,18,1,15,26,19,10,4,6
Total,826,681,712,1529,346,405,347,407,416,545,241,679,743,1382,83,117,374,336,367,472,603,606,223,515,499,612,140,358,118,746,271,514,378,246,690,493,1312,1656,1164,1125,498,394,586
