,1.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,8.txt,9.txt,10.txt,11.txt,12.txt,13.txt,14.txt,15.txt,16.txt,17.txt,18.txt,19.txt,20.txt,21.txt,22.txt,23.txt,24.txt,25.txt,26.txt,27.txt,28.txt,29.txt,30.txt,31.txt,32.txt,33.txt,34.txt,35.txt,36.txt,37.txt,38.txt,39.txt,40.txt,41.txt,42.txt,43.txt,44.txt,45.txt
Adaptor,0,2,3,0,0,0,0,1,7,0,4,0,0,4,3,2,0,0,0,0,6,1,0,1,2,0,4,1,0,1,1,1,3,3,5,0,0,6,0,5,4,1,1,11,1
Rounder,0,7,6,11,1,3,7,5,9,0,18,5,5,8,11,3,2,5,2,6,9,10,0,4,6,1,12,2,6,7,9,5,5,15,14,0,6,9,5,21,0,4,10,13,7
Plausible_shields,1,9,14,13,0,6,10,10,10,0,26,7,33,18,23,13,4,0,67,10,42,7,2,25,15,2,14,8,14,28,3,18,12,38,35,0,9,15,3,43,9,8,24,39,6
Attribute_shields,0,3,3,16,1,15,2,4,1,10,12,6,3,4,18,10,2,1,4,7,9,7,2,9,5,1,5,3,16,6,14,4,16,25,7,2,6,3,7,17,2,0,7,1,6
Total,46,386,389,979,76,642,282,270,387,219,1037,442,559,732,1122,1286,304,353,358,385,1309,445,218,976,451,240,780,392,616,667,604,466,642,735,758,162,311,842,749,1367,300,189,724,876,485
